# Словарь для импорта: english | русский
# Уклон в общеупотребительную + техническую/программистскую лексику.

# === Глаголы: базовые действия ===
to make | делать / создавать
feedback loop | цикл обратной связи
one-on-one | встреча один на один
mentor | наставник
mentee | подопечный
peer | коллега / равный
cross-functional | межфункциональный
deliverable | результат работы
artifact | артефакт
to deliver value | приносить ценность
prioritization | расстановка приоритетов
estimation | оценка трудозатрат
velocity | скорость команды
capacity | пропускная способность
allocation biz | распределение
utilization | загрузка / использование
efficiency biz | эффективность
productivity | продуктивность
output biz | результат / выпуск
quality assurance | контроль качества
sign-off | окончательное согласование
approval flow | процесс согласования
escalation | эскалация
incident | инцидент
outage | сбой / простой
postmortem | разбор инцидента
runbook | инструкция действий
on-call | дежурство
sla | соглашение об уровне сервиса
kpi | ключевой показатель
okr | цели и ключевые результаты
north star | главная метрика
data-driven | основанный на данных
hypothesis | гипотеза
experiment biz | эксперимент
a/b test | A/B-тест
rollout plan | план выката
go-to-market | вывод на рынок
positioning | позиционирование
value proposition | ценностное предложение
target audience | целевая аудитория
persona | портрет пользователя
use case | сценарий использования
user story | пользовательская история
edge | преимущество
competitive | конкурентный
differentiation | отличие / дифференциация
adoption | внедрение / принятие
retention rate | уровень удержания
growth rate | темп роста
scalable model | масштабируемая модель
sustainable | устойчивый
viable | жизнеспособный
feasible | осуществимый
robust solution | надёжное решение
seamless | бесшовный
intuitive | интуитивный
streamlined | упрощённый
cutting-edge | передовой
state-of-the-art | новейший
end-to-end | сквозной
turnkey | под ключ
ad hoc | специальный / разовый
granular | детальный / гранулярный
high-level | высокоуровневый
low-level | низкоуровневый
under the radar | незаметно
in the loop | в курсе дел
on the same page | на одной волне
moving forward | в дальнейшем
going forward | в будущем
at scale | в масштабе
by design | намеренно / по задумке
out of scope | вне рамок
in scope | в рамках
nice to have | желательно
must have | обязательно
low-hanging fruit | лёгкая добыча
quick win | быстрая победа
deep dive | глубокое погружение
big picture | общая картина
